,training_noun_phrases,skill_set_bool
6758,google search consoleexperience,0
6759,multiple touch pointssqltableauability,0
6760,senior stakeholder,0
6761,return,0
6762,doe,0
6763,flexible working option,0
6764,progression,0
6765,fantastic working environment,0
6766,role,0
6767,u,0
6768,job,0
6769,u,0
6770,confidential discussion,0
6771,specialist recruitment limited,0
6772,employment agency,0
6773,supply,0
6774,tc,0
6775,privacy policy,0
6776,hayscouk,0
6777,unprecedented time,0
6778,global leading financial service organisation,0
6779,line,0
6780,current regulation,0
6781,staff,0
6782,office,0
6783,business need,0
6784,acquisition,0
6785,business,0
6786,data analyst,1
6787,production,0
6788,cleansing list,1
6789,internal data quality,1
6790,ad hoc data analysis technique,1
6791,large data set,1
6792,summary,0
6793,data cleansing,1
6794,scoresengage,0
6795,process,0
6796,data requirement,1
6797,datareport,0
6798,progress,0
6799,data cleansing activitiesidentification,1
6800,potential process,0
6801,technology,0
6802,reoccurrence,0
6803,data quality issue,1
6804,strong microsoft skill,1
6805,sql experience,1
6806,advantage,0
6807,account data,1
6808,selfstarter,0
6809,responsibility,0
6810,high level,0
6811,attention,0
6812,detail,0
6813,skill,0
6814,good written oral communication skill,1
6815,good skill,0
6816,proven data analysis skill,1
6817,experience,0
6818,new rolenew role,0
6819,technical data analyst,1
6820,ever growing team,0
6821,bury,0
6822,accurate data,1
6823,business stakeholder,0
6824,ability,0
6825,technical support,0
6826,business,0
6827,sql database,1
6828,administrationquery writingevidence,0
6829,issuescritical thinkingexperience,0
6830,multiple source,0
6831,compilation,0
6832,sourcesability,0
6833,data solution,1
6834,ability,0
6835,pressure,0
6836,strong team,0
6837,interpersonal skill,0
6838,ideal candidate,0
6839,mssql knowledge,1
6840,essentialexperience,0
6841,use,0
6842,data analytics,1
6843,ability,0
6844,expert power bi developer knowledge,1
6845,mssql,1
6846,primary key,0
6847,extensive excel ability,1
6848,pivot tablesformulas,0
6849,sumifs,0
6850,vlookups,0
6851,desire,0
6852,knowledge,1
6853,scope,0
6854,new business technology,0
6855,boundary,0
6856,relevant candidate,0
6857,data analyst,1
6858,remote load,0
6859,business,0
6860,world,0
6861,client,0
6862,different instore online omnichannel intelligent solution,0
6863,business,0
6864,experienced data analyst,1
6865,data,1
6866,table,1
6867,strong power bi experience,1
6868,insight,1
6869,bonus point,0
6870,detail,0
6871,office,0
6872,cambridge,0
6873,northampton,0
6874,peterborough,0
6875,one group recruitment specialist,0
6876,unparalleled recruitment expertise,0
6877,seven specialist division,0
6878,finance,0
6879,executive search,0
6880,office support,0
6881,technical,0
6882,job,0
6883,next step,0
6884,career,0
6885,people,0
6886,england,0
6887,midland,0
6888,success,0
6889,customer service,0
6890,expert knowledge,1
6891,significant value,0
6892,workplace,0
6893,excellent job opportunity,0
6894,remote,0
6895,maidenhead duration,0
6896,month contract,0
6897,monthly data quality audit,1
6898,insightful actionable analysis,1
6899,data quality,1
6900,current etl,1
6901,adobe experience cloud,1
6902,solution,0
6903,improvement,0
6904,dashboard,0
6905,skill,0
6906,someone,0
6907,year,0
6908,experience,0
6909,python,1
6910,data analysis,1
6911,stakeholder,0
6912,product manager,0
6913,engineer,0
6914,dashboard building experience,0
6915,experienced data analyst,1
6916,reputable rapidly expanding business,0
6917,cloud,1
6918,automation,1
6919,azure,0
6920,work,0
6921,build,0
6922,new cloud platform,1
6923,implementation,0
6924,worldleading product,0
6925,vital role,0
6926,change,0
6927,process,0
6928,system,0
6929,data,1
6930,skill,0
6931,experience,0
6932,background,0
6933,data analyst,1
6934,technology software focused environment,0
6935,variety,0
6936,tool,1
6937,technique,0
6938,good knowledge,1
6939,understanding,0
6940,ssis,1
6941,etl,1
6942,master data management,1
6943,stakeholder management,1
6944,role,0
6945,office,0
6946,day,0
6947,new norm,0
6948,competent,0
6949,home,0
6950,asap start,0
6951,exciting opportunity,0
6952,big client,0
6953,mi data analyst,1
6954,role,0
6955,cloud team,1
6956,professional setting,0
6957,experience,0
6958,role,0
6959,client,0
6960,challenge,0
6961,highest quality,0
6962,spreadsheet,0
6963,complete data set,1
6964,timely response,0
6965,adhoc regular mi requestssourcing,0
6966,manipulating,0
6967,data set,1
6968,insight,1
6969,project delivery teamscontinuous development,1
6970,tool,1
6971,excel,1
6972,powerpoint,1
6973,wordcollaborative,0
6974,work,0
6975,lot,0
6976,monthsfull time mond fridaybig clienttraining givenwork,0
6977,home position,0
6978,london,0
6979,today,0
6980,date cv,0
6981,someone,0
6982,role,0
6983,adecco,0
6984,employment agency,0
6985,permanent recruitment,0
6986,employment business,0
6987,ireland,0
6988,equal opportunity employer,0
6989,adecco,0
6990,following link,0
6991,ambitious marketing data analyst,1
6992,year commercial marketing data,1
6993,analysis experience,1
6994,data insight team,1
6995,profit organisation,0
6996,minimum,0
6997,similar marketing analysis,1
6998,marketing data,1
6999,experience,0
7000,faststats,0
7001,advanced knowledge,1
7002,powerbi,1
7003,sql,1
7004,sa,0
7005,spss,0
7006,training,0
7007,experience,0
7008,large volume,0
7009,data,1
7010,internally externally experience,0
7011,role,0
7012,marketing data analyst position,1
7013,successful candidate,0
7014,marketing background,0
7015,responsibility,0
7016,reporting,1
7017,vital business market insight,1
7018,information,0
7019,customer insight,1
7020,analytical platform,0
7021,data set,1
7022,addition,0
7023,business trend,0
7024,condition,0
7025,report,1
7026,dashboard,0
7027,insight,1
7028,qualitative quantitative research finding,0
7029,context,0
7030,database development,1
7031,campaign planning activity,0
7032,marketing data analyst,1
7033,highly talented marketing data team,1
7034,day,0
7035,great working environment,0
7036,learning opportunity,1
7037,key marketing,0
7038,competitive salary,0
7039,great benefit package,0
7040,real difference,0
7041,profit organisation,0
7042,bc level flexible working occasional trip,0
7043,office,0
7044,interest,0
7045,cv,0
7046,dan,0
7047,exciting opportunity,0
7048,oxford,0
7049,new company,0
7050,inclusive welcoming company,0
7051,community,0
7052,american brand,0
7053,unique opportunity,0
7054,company,0
7055,staff,0
7056,success,0
7057,client,0
7058,data analyst,1
7059,system requirement,0
7060,future implementation project,0
7061,strategic business need,0
7062,growing team,0
7063,potential,0
7064,business,0
7065,strong client engagement,0
7066,good ethic,0
7067,sage business team,0
7068,role,0
7069,provide,0
7070,businessfacilitate,0
7071,system incident project request,0
7072,system integration,1
7073,systemssupport,0
7074,dashboard,0
7075,requirementsbusiness process support,0
7076,sage application,0
7077,application,0
7078,strong command,0
7079,database structure query,1
7080,complex problem,0
7081,nontechnical term,0
7082,enhanced pension pensionfantastic benefitsprivate healthcareopportunity,0
7083,scale,0
7084,role,0
7085,cv,0
7086,job,0
7087,new position,0
7088,u,0
7089,career,0
7090,temporary worker,0
7091,hayscouk,0
7092,responsibilitiesproject solution data analyst,1
7093,project solution data analyst,1
7094,pension administration project solution team,0
7095,either birmingham,0
7096,pension administration project solution team,0
7097,change project,0
7098,existing client,0
7099,partnership,0
7100,department,0
7101,external party,0
7102,third party provider,0
7103,administration service,0
7104,colleague,0
7105,project change work,0
7106,process,0
7107,aonheadquartered,0
7108,london,0
7109,aon plc,0
7110,broad range,0
7111,risk retirement health solution,0
7112,client,0
7113,proprietary data,1
7114,analytics,0
7115,insight,1
7116,uk pension landscape,0
7117,rapid pace,0
7118,economic challenge,0
7119,wide variety,0
7120,risk,0
7121,challenge,0
7122,pension scheme,0
7123,trustee,0
7124,range,0
7125,decision,1
7126,member engagement,0
7127,investment strategy,0
7128,dc plan,0
7129,awardwinning expertise,0
7130,u,0
7131,client,0
7132,integrated comprehensive solution,0
7133,actuarial plan administration,0
7134,investment insurance discipline,0
7135,u,0
7136,aons recruitment selection policy,0
7137,best possible skill mix,0
7138,colleague,0
7139,highest quality candidate,0
7140,objective jobrelated criterion,0
7141,requirement,0
7142,issue,0
7143,process,0
7144,data query,1
7145,procedure,0
7146,meeting,0
7147,solution,0
7148,data query,1
7149,le experienced colleague,0
7150,prioritising,0
7151,assigned project activity,0
7152,client,0
7153,additional information,0
7154,client meeting,0
7155,project tracker,0
7156,investigation,0
7157,background,0
7158,archived file system data,1
7159,client catchup call,0
7160,meeting,0
7161,highlighting risk,0
7162,relevant party,0
7163,risk management process,1
7164,highlight area,0
7165,improvement,0
7166,team,0
7167,effectiveness,0
7168,relevant party,0
7169,appropriate mean,0
7170,language inc,1
7171,internal meeting,0
7172,client team,0
7173,thirdparty provider,0
7174,individual target,0
7175,kpis,0
7176,quality target,0
7177,team,0
7178,team,0
7179,senior colleague,0
7180,maintaining,0
7181,technical knowledge,1
7182,especially regulatory statutory requirement,0
7183,leading international specialist medium information technology group,0
7184,richmondtwickenham,0
7185,almost people,0
7186,uk,0
7187,hong kong,0
7188,singapore,0
7189,germany,0
7190,result,0
7191,marketing data analyst,1
7192,exceptional candidate,0
7193,following skill,0
7194,skill,0
7195,large multiple datasetsworking knowledge,1
7196,database,1
7197,etl,1
7198,advanced sql,1
7199,large amount,0
7200,data,1
7201,gcp bigquery,0
7202,preferredexcellent data manipulation,1
7203,analytical skillsexperience,0
7204,complex reporting,1
7205,metricskpis,0
7206,performance,1
7207,bb environment,0
7208,medium industryability,0
7209,senior stakeholder,0
7210,business,0
7211,business,0
7212,new way,0
7213,marketing,0
7214,key task,0
7215,maintenance,0
7216,reporting environment,1
7217,key dashboardsensure data,1
7218,underlying data issue,1
7219,accurate data,1
7220,customer data platform,1
7221,cdpbespoke reporting,1
7222,internal stakeholder,0
7223,data,1
7224,technology,0
7225,decisionmaking process,0
7226,companysupport stakeholder,0
7227,new approachesensure,0
7228,output,0
7229,needscommunicate finding,0
7230,wider businessgrow domain expertise champion data analysis,1
7231,pace,0
7232,changing need,0
7233,complexity,0
7234,organised methodical approach,0
7235,workconfident,0
7236,ownership,0
7237,pride,0
7238,best outcomecustomer,0
7239,deadline,0
7240,skillsnumerate,0
7241,team environment,0
7242,internal customer general,0
7243,highly data,1
7244,data,1
7245,detail,0
7246,accuracymediapublishing background,0
7247,conflicting priority,0
7248,customer expectationsan,0
7249,understanding,0
7250,deadline,0
7251,customer expectation,0
7252,strong sqlbigquery skill,0
7253,large volume,0
7254,high level,0
7255,dashboarding data visualisation tool,1
7256,ideally data studioexcellent excelgoogle sheet,1
7257,vba,0
7258,customer data platform,1
7259,advantage,0
7260,service,0
7261,daysgenerous contributory pension schemeseason ticket loan,0
7262,critical asset,0
7263,execution,0
7264,process,0
7265,compliance,0
7266,architecture,0
7267,information,0
7268,mash medium,0
7269,data,1
7270,order,0
7271,mash medium,0
7272,data,1
7273,role,0
7274,administration,0
7275,role,0
7276,detailoriented highly analytical approach,0
7277,evaluation,0
7278,data,1
7279,gap,0
7280,data pool,1
7281,responsibility unsubscribe transfer,0
7282,hardbounce removal,0
7283,collating,0
7284,click,0
7285,data,1
7286,strong written verbal communication,1
7287,strongcustomer service,0
7288,experience,0
7289,strong administrative skill,0
7290,pressure,0
7291,attention,0
7292,ability,0
7293,part,0
7294,awider team,0
7295,demonstrate applicable commercial acumen,0
7296,flexibility,0
7297,desirable skill intermediateadvanced microsoft office,1
7298,specifically m excel,1
7299,knowledge,1
7300,summary,0
7301,leading software data service company,1
7302,suite,0
7303,end,0
7304,data analyst,1
7305,fantastic time,0
7306,forwardthinking organisation,0
7307,market space,0
7308,role,0
7309,opportunity,0
7310,range,0
7311,activity,0
7312,year experience,0
7313,electricity industry,0
7314,knowledge,1
7315,industry dataflows,0
7316,settlement process,0
7317,key responsibility,0
7318,processing industry dataflow,0
7319,electricity domestic marketcompleting,0
7320,processing,0
7321,line,0
7322,industry performance standard,1
7323,interaction,0
7324,agent,0
7325,supplier,0
7326,business priority,0
7327,automation skill,1
7328,experience,0
7329,year,0
7330,electricity andor gas industry,0
7331,industry dataflows,0
7332,settlement process,0
7333,excellent verbal written communication skillshigh level,1
7334,numeracy accuracystrong attention,0
7335,detailcomputer,0
7336,proficiency,0
7337,word excelexcellent interpersonal skill,0
7338,data insight analyst,1
7339,opportunity,0
7340,experienced data insight analyst,1
7341,forward thinking fintech,0
7342,company,0
7343,range,0
7344,pension,0
7345,healthcare,0
7346,summer,0
7347,christmas party,0
7348,regular social,0
7349,data insight analyst,1
7350,wider business,0
7351,endusers,0
7352,insight,1
7353,real commercial impact,0
7354,conversion,0
7355,modern office,0
7356,london,0
7357,free refreshment,0
7358,office,0
7359,home,0
7360,requirement,0
7361,similar role,0
7362,business,0
7363,sql query,1
7364,large disparate data set,1
7365,experience,0
7366,powerbi,1
7367,tableau,1
7368,strong communication skill,1
7369,ability,0
7370,business requirement,0
7371,business,0
7372,competitive salary,0
7373,k,0
7374,confidential discussion,0
7375,sql role,1
7376,spreadsheet,0
7377,detail,0
7378,new position,0
7379,little detail,0
7380,little thing,0
7381,big thing,0
7382,large engineering site,0
7383,waterlooville,0
7384,exposure,0
7385,wellknown company,0
7386,whose product,0
7387,uk,0
7388,data,1
7389,company everexpanding client,0
7390,data analysing,1
7391,project support,0
7392,delivery,1
7393,invoice,0
7394,function,0
7395,amending macro,0
7396,concatenate,0
7397,formula,0
7398,huge part,0
7399,role,0
7400,data,1
7401,computer database,1
7402,huge part,0
7403,role,0
7404,data analyst,1
7405,room,0
7406,improvement,0
7407,smooth running,0
7408,business,0
7409,microsoft excel,1
7410,excell whizz,0
7411,employment agency,0
7412,entrepreneurial creative digitalfacing organisation,0
7413,cutting edge,0
7414,medium,0
7415,three core market,0
7416,sustainability,0
7417,financial service,0
7418,technology,0
7419,analystgrade insight,1
7420,business intelligence,0
7421,specialist network,0
7422,business professional,0
7423,customer,0
7424,heart,0
7425,u,0
7426,integrity,0
7427,innovation,0
7428,trust,0
7429,good judgement,0
7430,work,0
7431,curiosity,0
7432,value,0
7433,marketing data analyst,1
7434,data team,1
7435,data operation manager,1
7436,role,0
7437,wider business,0
7438,data,1
7439,marketing sale campaign,0
7440,analysis,1
7441,role,0
7442,marketing,0
7443,sale,0
7444,marketing,0
7445,wider team,0
7446,data,1
7447,excellent communication,1
7448,role,0
7449,lot,0
7450,varying background,0
7451,data,1
7452,variety,0
7453,technology,0
7454,large opportunity,0
7455,development,1
7456,especially exposure,0
7457,good communication people management skill,1
7458,logical mindset,0
7459,prior experience,0
7460,adestra preferredcrm system,0
7461,similargoogle analytics,0
7462,vlookupsability,0
7463,experience,0
7464,sql,1
7465,career,0
7466,management support,1
7467,fantastic location,0
7468,covent garden,0
7469,access,0
7470,numerous retail discount,0
7471,range,0
7472,success,0
7473,recognisedexcellent training development programmesremote working day annual leave,1
7474,dayslife assurancegroup personal pension,0
7475,planvoluntary private medical insurancetechschemeretail discountsemployee referral schemeemployee assistance programme,0
7476,time,0
7477,skill,0
7478,meaningful difference,0
7479,life,0
7480,others,0
7481,flexible salary sacrifice benefit,0
7482,season ticket loan,0
7483,holiday,0
7484,interviewing,0
7485,covid restriction,0
7486,place,0
7487,behalf,0
7488,client,0
7489,manchester,0
7490,client,0
7491,new app feature,0
7492,fastpaced rapidly growing company,0
7493,role,0
7494,data analyst,1
7495,useful structured unstructured data,1
7496,capability,0
7497,design,0
7498,prototype,0
7499,report,1
7500,power bidesign,0
7501,prototype,0
7502,model,0
7503,rpythonaws sagemaker,0
7504,data science toolkits,1
7505,dplyr,0
7506,comfortable learning,1
7507,data transformation,1
7508,toolsbe,0
7509,agile kanban,0
7510,review,0
7511,solution,0
7512,source control,0
7513,change,0
7514,advantage,0
7515,successful customerportfolio management,1
7516,benefit,0
7517,successful applicant,0
7518,great opportunity,0
7519,company,0
7520,generous benefit package,0
7521,job,0
7522,perfect role,0
7523,delay,0
7524,role,0
7525,ambitious marketing data analyst,1
7526,insight,1
7527,career,0
7528,role,0
7529,profit organisation,0
7530,minimum,0
7531,year experience,0
7532,similar marketing analysis,1
7533,marketing data,1
7534,another automation count tool,1
7535,advanced knowledge,1
7536,powerbi,1
7537,advantageous experience,0
7538,spss,0
7539,training,0
7540,clear ability,0
7541,marketing insightdata,0
7542,experience,0
7543,experience,0
7544,data,1
7545,internally externally experience,0
7546,role,0
7547,successful candidate,0
7548,responsibility,0
7549,analysis,1
7550,framework,0
7551,vital business market insight,1
7552,key source,0
7553,information,0
7554,insight,1
7555,key director,0
7556,business trend,0
7557,report,1
7558,dashboard,0
7559,relevant crm system,1
7560,digital marketing platform,0
7561,internal stakeholder,0
7562,qualitative quantitative research finding,0
7563,context,0
7564,database development,1
7565,company,0
7566,marketing data analyst,1
7567,highly talented marketing data team,1
7568,analysis manager,1
7569,profit organisation,0
7570,key marketing,0
7571,competitive salary,0
7572,great benefit package,0
7573,flexible working scope,0
7574,real difference,0
7575,office,0
7576,apply button,0
7577,global leader,0
7578,fashion,0
7579,trend,0
7580,remote,0
7581,trend,0
7582,strategic intelligent commercial individual,0
7583,advisory service,0
7584,data analyst,1
7585,beauty,0
7586,data analysis,1
7587,work,0
7588,region,0
7589,data analyst,1
7590,team,0
7591,london,0
7592,part,0
7593,client,0
7594,content function,0
7595,delivery,1
7596,highest quality data research,1
7597,analysis,1
7598,specific project,0
7599,successful candidate,0
7600,data,1
7601,generation,0
7602,data cleansing,1
7603,analysis,1
7604,visualisation,0
7605,ecommerce,0
7606,candidate,0
7607,team,0
7608,method,0
7609,type,0
7610,data,1
7611,insight,1
7612,role,0
7613,demonstrable understanding,0
7614,ability,0
7615,variety,0
7616,data source,1
7617,expertise,0
7618,project management,1
7619,skill,0
7620,key responsibility,0
7621,fashion,0
7622,high quality,0
7623,accurate analysis,1
7624,company content,0
7625,consulting work,0
7626,following category,0
7627,trading calendar,0
7628,key trend,0
7629,driver,0
7630,beauty industry,0
7631,food,0
7632,lifestyle,0
7633,client,0
7634,future strategy,0
7635,growth opportunity,0
7636,primary secondary research,0
7637,quant data set,1
7638,analysis,1
7639,actionable recommendation,0
7640,business intelligence,0
7641,large data set,1
7642,number,0
7643,global leader,0
7644,fashion,0
7645,trend,0
7646,ability,0
7647,people,0
7648,must experience,0
7649,fashion retailmerchandisingbuyingecommerce,0
7650,strong advantage,0
7651,ideally year,0
7652,complex simple,0
7653,analytic experience,0
7654,statistical modelling forecasting,1
7655,ab testing,0
7656,doe,0
7657,clustering,0
7658,simulation,0
7659,linear,0
7660,dynamic programming,1
7661,forecasting,0
7662,arima,0
7663,technical experience,0
7664,database,1
7665,redshift,0
7666,sql,1
7667,access,0
7668,language,1
7669,sql,1
7670,r,1
7671,java,1
7672,analytic software,0
7673,knime,0
7674,qlik,1
7675,microsoft business data analyst,1
7676,doe,0
7677,trusted preferred recruitment partner,0
7678,prestigious global consultancy,0
7679,permanent microsoft visualisation data focused business analyst,1
7680,skill,0
7681,bi data engineering technology,1
7682,particular emphasis,0
7683,microsoft azure,1
7684,modern data warehouse architecture,1
7685,component,0
7686,client,0
7687,leading data visualisation tool,1
7688,business analyst,0
7689,experience,0
7690,link,0
7691,requirement,0
7692,requirement,0
7693,key skill,0
7694,depth,0
7695,knowledge,1
7696,data modelling technique,1
7697,working knowledge,1
7698,relevant business management principle,1
7699,excellent attention,0
7700,complex concept,0
7701,simple language,1
7702,excellent verbal written communication skill,1
7703,working knowledge,1
7704,word processing tool,1
7705,relevant software package,0
7706,sleeve,0
7707,innovative bi solution,1
7708,complex business problem,0
7709,candidate,0
7710,home,0
7711,role,0
7712,mixture,0
7713,remote working,0
7714,office,0
7715,candidate,0
7716,sc clearance,0
7717,deerfoot resource ltd,0
7718,uk leading recruitment agency,0
7719,uk leading employer,0
7720,experience,0
7721,cv,0
7722,authorisation,0
7723,complete detail,0
7724,employment agency,0
7725,relation,0
7726,deerfoot,0
7727,recruiting client,0
7728,performed,0
7729,transcription,0
7730,general data analysis deliverable,1
7731,aggressive deadlinestranslating established guideline,0
7732,daily work,0
7733,range,0
7734,improvement,0
7735,time,0
7736,addition,0
7737,change,0
7738,convention,0
7739,improvement,0
7740,bug,0
7741,enhancement,0
7742,efficiency,0
7743,issue,0
7744,detailedorientedis,0
7745,fastpaced highly collaborative dynamic work,0
7746,willingness,0
7747,several project,0
7748,one time,0
7749,necessaryadapts,0
7750,skill nativelike fluency,0
7751,spoken written indian english hindi language varietiesexperience,1
7752,professional settingable,0
7753,audio content,0
7754,headset,0
7755,portion,0
7756,dayworking knowledge,1
7757,relevant field,0
7758,degree,0
7759,language,1
7760,transcriber,0
7761,language data,1
7762,experience,0
7763,annotation,0
7764,form,0
7765,data mark,1
7766,excellent opportunity,0
7767,analytical linguistic skill,0
7768,relation,0
7769,vacancy,0
7770,parkside recruitment,0
7771,equal opportunity employer,0
7772,regarded national charity,0
7773,report,1
7774,powerbi,1
7775,client,0
7776,people,0
7777,others,0
7778,transformative role,0
7779,kind,0
7780,biggest challenge,0
7781,covid recovery,0
7782,incident resolution,0
7783,break fix function,0
7784,end user,0
7785,use,0
7786,organisation,0
7787,request,0
7788,call stack,0
7789,incident,0
7790,service request,0
7791,project sponsor,0
7792,document project,0
7793,reporting suite,1
7794,powerbi,1
7795,demonstrable experience,0
7796,background,0
7797,bi solution,1
7798,business system,0
7799,business system process,0
7800,interest,0
7801,knowledge,1
7802,finance application,0
7803,knowledge,1
7804,mssql,1
7805,return,0
7806,client,0
7807,profit,0
7808,fun enjoyable place,0
7809,work,0
7810,annumemployee,0
7811,date,0
7812,cv,0
7813,u,0
7814,someone,0
7815,successful referral,0
7816,recruitment,0
7817,data business intelligence personnel,1
7818,south west,0
7819,tech professional,0
7820,best talent,0
7821,future,0
7822,recruitment,0
7823,boundary,0
7824,tech talent,0
7825,limit,0
7826,pace,0
7827,change,0
7828,leading human network,0
7829,digital age,0
7830,aspiration,0
7831,tech expert,0
7832,organisation,0
7833,unparalleled access,0
7834,speed,0
7835,specialist recruitment limited,0
7836,employment agency,0
7837,permanent recruitment employment business,0
7838,temporary worker,0
7839,tc,0
7840,privacy policy,0
7841,hayscouk,0
7842,hybrid working,0
7843,remote,0
7844,role,0
7845,team member,0
7846,business,0
7847,strategy,0
7848,data,1
7849,report,1
7850,effective decision,1
7851,candidate,0
7852,experience,0
7853,crm system,1
7854,specifically microsoft dynamic,1
7855,sharepoint,0
7856,sql database,1
7857,reporting analyst,1
7858,various database package,1
7859,statistical applicationsaccounting practice,0
7860,statistic toolscrm,0
7861,microsoft dynamic,1
7862,significant amount,0
7863,information,0
7864,attention,0
7865,detail,0
7866,level,0
7867,shortlisting,0
7868,fantastic opportunity,0
7869,specialist,0
7870,power bi,1
7871,analysis,1
7872,flexibility,0
7873,working hour,0
7874,home,0
7875,analyst position,0
7876,communication skill,1
7877,technical knowledge,1
7878,stakeholder,0
7879,business,0
7880,daily basis,0
7881,analyst role,0
7882,successful applicant,0
7883,chance,0
7884,control,0
7885,business,0
7886,skill,0
7887,task,0
7888,efficient working practice,0
7889,power bi,1
7890,multiple client,0
7891,sharepoint site,0
7892,monitor productivity,0
7893,area,0
7894,business,0
7895,background,0
7896,accounting,0
7897,familiarity,0
7898,outgoing strong communicator,0
7899,relationship,0
7900,large sum,0
7901,data,1
7902,return,0
7903,influential member,0
7904,current performancebe,0
7905,either birmingham,0
7906,london,0
7907,choice,0
7908,chance,0
7909,power bi,1
7910,mi reporting,1
7911,depth,0
7912,data analysis,1
7913,outgoing progressive individual,0
7914,power bi experience,1
7915,business,0
7916,relevant experience,0
7917,position,0
7918,role,0
7919,quinton davy,0
7920,industry leading dynamic business,0
7921,bath,0
7922,client,0
7923,stakeholder,0
7924,business area,0
7925,decision making,1
7926,strategy,0
7927,order,0
7928,role,0
7929,following criterion,0
7930,proven experience,0
7931,power bi,1
7932,excel inc power query vba,1
7933,desirable experience,0
7934,return,0
7935,client,0
7936,extensive training,0
7937,career progression,0
7938,flexibleremote working competitive salary,0
7939,experience,0
7940,thanks,0
7941,application,0
7942,unsuccessful applicant,0
7943,application,0
7944,application,0
7945,unlawful ground,0
7946,diversity,0
7947,mi analyst,0
7948,data analyst,1
7949,data marketing intelligence analyst,1
7950,initial month contract,0
7951,home,0
7952,solihull office,0
7953,experienced coordinatoradministrator,0
7954,major part,0
7955,raw data,1
7956,matter,0
7957,care home,0
7958,marketing intelligence experience,0
7959,majority,0
7960,report,1
7961,service,0
7962,potentially director level,0
7963,successful applicant,0
7964,microsoft excel,1
7965,wide range,0
7966,performance,1
7967,north west,0
7968,pattern,0
7969,actionable insight,1
7970,use,0
7971,graph,0
7972,infographics,0
7973,method,0
7974,data,1
7975,kpis,0
7976,effectiveness,0
7977,business decision,1
7978,presentation,1
7979,report,1
7980,ability,0
7981,ability,0
7982,ability,0
7983,complex problem,0
7984,simpler term,0
7985,umbrella company,0
7986,essential proficiency,0
7987,reporting,1
7988,proficiency,0
7989,microsoft excel,1
7990,ability,0
7991,deadline,0
7992,click,0
7993,data analyst north west england role,1
7994,analyst,0
7995,critical role,0
7996,team,0
7997,optimal way,0
7998,accuracy,0
7999,data,1
8000,client campaign,0
8001,constant improvement,0
8002,wider team,0
8003,desire,0
8004,business,0
8005,ability,0
8006,data,1
8007,pattern,0
8008,informed decision,1
8009,someone,0
8010,scale,0
8011,part,0
8012,wider teamsomeone,0
8013,communication skill,1
8014,technique,0
8015,internal stakeholder,0
8016,presentation,1
8017,formatsomeone,0
8018,data,1
8019,experience,0
8020,year industry,0
8021,jobrelated experiencebachelors degree,0
8022,related area,0
8023,experience,0
8024,dataproven desire,0
8025,curiosity mindset,0
8026,desire,0
8027,immediate team,0
8028,internal team,0
8029,ability,0
8030,fast paced environment,0
8031,multiple priority,0
8032,senior administrator data analyst,1
8033,environment,0
8034,employee,0
8035,company success,0
8036,key responsibility,0
8037,data analysis support,1
8038,sale commercial department,0
8039,monitor crm,1
8040,present pipeline,1
8041,maintain,0
8042,installed base data,1
8043,competitor fleet subsystem data,1
8044,capture plan,0
8045,provide competitor,0
8046,current project data,1
8047,group finance department,0
8048,assist,0
8049,bid,0
8050,preparation,0
8051,fca,0
8052,cost analysis tool,1
8053,support,0
8054,principle responsibility,0
8055,complete safety process,0
8056,sbos,0
8057,comply,0
8058,company safety policy,0
8059,comply,0
8060,company financial policy,0
8061,reporting procedure,1
8062,ensure report,1
8063,relevant guideline,0
8064,delivery,1
8065,elevation,0
8066,power point,0
8067,access,0
8068,timely preparation,0
8069,monthly weekly report,1
8070,coordination,0
8071,bdm,0
8072,finance,0
8073,present monthly report,1
8074,fleet database,1
8075,input,0
8076,capture plan,0
8077,fleet data,1
8078,monitor uk passenger freight fleet,0
8079,elevation business support,0
8080,specialist division,0
8081,recruitment,0
8082,talented business support professional,0
8083,detail,0
8084,data protection compliance analyst,1
8085,brighton,0
8086,work,0
8087,home option,0
8088,c day,1
8089,week,0
8090,life assurance,0
8091,private medical insurance,0
8092,day holiday,0
8093,interest,0
8094,subsidised,0
8095,work scheme,0
8096,lloyd recruitment service,0
8097,behalf,0
8098,longest standing client,0
8099,wellestablished highly professional ftse financial service organisation,0
8100,best practice,0
8101,data protection financial crime prevention regulation code,1
8102,practice,0
8103,role holder,0
8104,first line support,0
8105,subject access request,0
8106,practical guidance,0
8107,business,0
8108,associated risk,0
8109,procedure,0
8110,routine monitoring,0
8111,incident,0
8112,responsibility,0
8113,life,0
8114,financial crime prevention policy aml,0
8115,assurance,0
8116,pep,0
8117,adverse medium screening,0
8118,existing client,0
8119,cdd,0
8120,timely manner,0
8121,implementation,0
8122,regulatory policy change,0
8123,business,0
8124,oversee adherence,0
8125,regulation,0
8126,completion,0
8127,root cause analysis,1
8128,request,0
8129,skill,0
8130,experience,0
8131,data protection,1
8132,regulationsknowledge,0
8133,practice,0
8134,information security standard,1
8135,isopcidssability,0
8136,tight deadline,0
8137,initiative,0
8138,communication skill,1
8139,levelscurious nature,0
8140,ability,0
8141,m office knowledgea data fact,1
8142,analytical approach,0
8143,experienceknowledge,0
8144,fca regulationability,0
8145,awareness presentation,1
8146,businessevidence,0
8147,expertise,0
8148,process excellence,0
8149,associated methodology,0
8150,certificate level,0
8151,towardsica advanced certificate,0
8152,practical customer,0
